,State,Year,Employed,Unemployed,HPI_NSA,HPI_SA,Total_Cases,Total_Death
0,AK,2017,337108.0,23482.0,251.07,250.05,,
1,AK,2018,334242.0,21210.0,255.64,254.54,,
2,AK,2019,333540.0,19344.0,264.62,263.43,,
3,AK,2020,318278.0,28605.0,276.87,275.6,2717469.0,20473.0
4,AK,2021,332264.0,22672.0,306.56,305.18,30977973.0,169476.0
5,AL,2017,2103874.0,99588.0,205.08,204.38,,
6,AL,2018,2153082.0,87399.0,216.29,215.55,,
7,AL,2019,2199870.0,72025.0,228.94,228.15,,
8,AL,2020,2121149.0,147162.0,248.23,247.38,32202796.0,790814.0
9,AL,2021,2169724.0,77274.0,287.27,286.27,227480530.0,4588997.0
10,AR,2017,1297858.0,50234.0,206.9,206.52,,
11,AR,2018,1302632.0,49060.0,215.1,214.72,,
12,AR,2019,1318468.0,47324.0,224.8,224.4,,
13,AR,2020,1274071.0,82513.0,239.49,239.05,18405550.0,285708.0
14,AR,2021,1278986.0,53639.0,277.97,277.46,144793479.0,2367676.0
15,AZ,2017,3079700.0,160411.0,287.82,287.2,,
16,AZ,2018,3168469.0,159720.0,311.96,311.29,,
17,AZ,2019,3265924.0,166552.0,334.41,333.68,,
18,AZ,2020,3191100.0,265751.0,372.63,371.85,47085893.0,1047749.0
19,AZ,2021,3346320.0,172106.0,464.1,463.09,350452837.0,6589996.0
20,CA,2017,18258065.0,927302.0,260.6,259.33,,
21,CA,2018,18468146.0,821366.0,277.52,276.18,,
22,CA,2019,18612610.0,796807.0,288.41,287.02,,
23,CA,2020,16996667.0,1934451.0,310.41,308.94,171639237.0,3015768.0
24,CA,2021,17541945.0,1381250.0,369.29,367.5,1472475446.0,22226510.0
25,CO,2017,2885981.0,77812.0,413.23,411.32,,
26,CO,2018,2957692.0,91952.0,448.66,446.54,,
27,CO,2019,3019936.0,80664.0,473.04,470.77,,
28,CO,2020,2874858.0,212418.0,510.16,507.82,24268696.0,539308.0
29,CO,2021,2986712.0,169402.0,603.03,600.21,214883907.0,2561972.0
30,CT,2017,1838834.0,84878.0,167.07,166.54,,
31,CT,2018,1855969.0,75527.0,170.81,170.28,,
32,CT,2019,1881688.0,68661.0,174.95,174.41,,
33,CT,2020,1749954.0,147828.0,187.94,187.36,17213832.0,1119855.0
34,CT,2021,1739816.0,116108.0,219.77,219.08,126931906.0,2976674.0
35,DC,2017,369388.0,23938.0,497.93,493.04,,
36,DC,2018,373772.0,22267.0,528.93,523.68,,
37,DC,2019,379016.0,21561.0,545.23,539.89,,
38,DC,2020,358370.0,31014.0,574.99,569.47,3644833.0,146404.0
39,DC,2021,356578.0,25095.0,632.35,626.11,18974952.0,403386.0
40,DE,2017,453949.0,21264.0,194.24,193.77,,
41,DE,2018,462144.0,18011.0,204.29,203.78,,
42,DE,2019,466856.0,17990.0,210.92,210.41,,
43,DE,2020,449114.0,36699.0,225.95,225.42,5151546.0,163435.0
44,DE,2021,469875.0,26556.0,260.41,259.8,41058124.0,679004.0
45,FL,2017,9544893.0,428098.0,278.0,277.5,,
46,FL,2018,9734030.0,373164.0,299.7,299.14,,
47,FL,2019,9928236.0,330965.0,317.36,316.76,,
48,FL,2020,9267152.0,827730.0,345.3,344.64,136626159.0,2958362.0
49,FL,2021,9843060.0,469714.0,418.39,417.56,975849918.0,15934935.0
50,GA,2017,4864819.0,243079.0,217.46,216.79,,
51,GA,2018,4915716.0,205460.0,234.35,233.61,,
52,GA,2019,4967508.0,185446.0,248.71,247.9,,
53,GA,2020,4751109.0,328452.0,270.9,270.03,65939590.0,1394107.0
54,GA,2021,4983733.0,203240.0,320.18,319.13,457894070.0,8059841.0
55,HI,2017,679865.0,15438.0,239.4,239.47,,
56,HI,2018,675681.0,16301.0,250.0,250.07,,
57,HI,2019,667914.0,16776.0,260.52,260.6,,
58,HI,2020,582979.0,79512.0,276.82,276.95,2113991.0,27310.0
59,HI,2021,630187.0,38226.0,318.61,318.78,18060015.0,221997.0
60,IA,2017,1645662.0,51841.0,232.99,231.54,,
61,IA,2018,1671632.0,43322.0,243.56,242.03,,
62,IA,2019,1704065.0,45558.0,251.57,250.01,,
63,IA,2020,1595825.0,86434.0,265.14,263.5,23168716.0,334206.0
64,IA,2021,1605207.0,70872.0,295.57,293.72,146421723.0,2238773.0
65,ID,2017,812876.0,26902.0,286.21,284.51,,
66,ID,2018,837514.0,25000.0,322.56,320.61,,
67,ID,2019,862865.0,26330.0,362.48,360.32,,
68,ID,2020,848740.0,48998.0,418.31,415.86,10555689.0,108598.0
69,ID,2021,884330.0,32728.0,547.78,544.4,79242692.0,902069.0
70,IL,2017,6237934.0,324362.0,192.92,192.29,,
71,IL,2018,6281766.0,286450.0,198.89,198.2,,
72,IL,2019,6308538.0,260282.0,203.92,203.2,,
73,IL,2020,5781088.0,585636.0,214.26,213.52,81900195.0,2206778.0
74,IL,2021,5935975.0,382943.0,240.63,239.79,526709410.0,9307643.0
75,IN,2017,3217050.0,116648.0,192.02,191.26,,
76,IN,2018,3270728.0,114980.0,206.22,205.41,,
77,IN,2019,3282446.0,111321.0,220.18,219.31,,
78,IN,2020,3083162.0,239673.0,240.68,239.73,35489288.0,915492.0
79,IN,2021,3203167.0,118384.0,277.23,276.1,298637568.0,5161081.0
80,KS,2017,1434517.0,53832.0,227.63,226.98,,
